epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.519,1.10823,2.11608,1.32563,0.76942,0.56846,0.72011,0.55657,0.91029,1.5522,1.16426,0.000471211,0.000471211,0.000471211
2,455.124,1.11653,1.46548,1.31791,0.56671,0.51401,0.57868,0.40192,1.08094,1.81392,1.27326,0.000928783,0.000928783,0.000928783
3,671.819,1.11628,1.37325,1.31152,0.63461,0.6661,0.70107,0.46255,1.18899,1.6707,1.33628,0.00136749,0.00136749,0.00136749
4,913.395,1.11172,1.26903,1.29141,0.77135,0.64725,0.76139,0.52568,1.12767,1.38679,1.26488,0.00134412,0.00134412,0.00134412
5,1180.39,1.06063,1.22899,1.27371,0.79794,0.72671,0.83604,0.61612,0.95613,1.04435,1.16193,0.00131582,0.00131582,0.00131582
6,1474.33,1.02619,1.13111,1.24107,0.75867,0.71222,0.7922,0.6052,0.88198,1.31735,1.11866,0.00128753,0.00128753,0.00128753
7,1751.62,1.02308,1.09901,1.24232,0.80187,0.796,0.86243,0.67342,0.87877,0.85449,1.09593,0.00125923,0.00125923,0.00125923
8,1990.74,0.99251,1.05279,1.22168,0.83838,0.68724,0.8176,0.56363,1.1107,1.10846,1.24513,0.00123094,0.00123094,0.00123094
9,2214.39,0.96844,1.01288,1.21321,0.86524,0.73777,0.86471,0.6853,0.81548,0.88579,1.06721,0.00120265,0.00120265,0.00120265
10,2441.38,0.96533,0.96159,1.20909,0.84404,0.78257,0.87714,0.70092,0.79094,0.87987,1.0719,0.00117435,0.00117435,0.00117435
11,2660.31,0.93235,0.95616,1.19279,0.8388,0.8011,0.87399,0.68748,0.83035,0.844,1.07728,0.00114606,0.00114606,0.00114606
12,2877.58,0.91031,0.90956,1.17852,0.86437,0.78684,0.88187,0.71084,0.74467,0.78231,1.02929,0.00111776,0.00111776,0.00111776
13,3102.39,0.90719,0.89331,1.17857,0.87369,0.76866,0.86748,0.6945,0.76656,0.84284,1.06039,0.00108947,0.00108947,0.00108947
14,3328.58,0.91403,0.881,1.18525,0.83387,0.82011,0.89375,0.72512,0.76739,0.72475,1.0319,0.00106118,0.00106118,0.00106118
15,3554.12,0.85955,0.85466,1.15254,0.86169,0.81528,0.89662,0.72851,0.76477,0.7114,1.02846,0.00103288,0.00103288,0.00103288
16,3777.63,0.85566,0.81139,1.15244,0.88083,0.8238,0.90109,0.73092,0.71469,0.75491,1.0075,0.00100459,0.00100459,0.00100459
17,3994.88,0.84095,0.80278,1.14873,0.89615,0.8185,0.91382,0.75242,0.67756,0.69049,0.98578,0.000976293,0.000976293,0.000976293
18,4220.7,0.83044,0.78065,1.14064,0.89205,0.79756,0.89895,0.72595,0.70295,0.78695,1.00352,0.000947999,0.000947999,0.000947999
19,4454.62,0.84186,0.77883,1.14568,0.88376,0.857,0.92262,0.77096,0.66837,0.67657,0.97952,0.000919704,0.000919704,0.000919704
20,4687.85,0.82504,0.75458,1.13305,0.85523,0.83762,0.90766,0.74615,0.6918,0.67891,0.98263,0.00089141,0.00089141,0.00089141
21,4916.57,0.81697,0.76658,1.13162,0.84501,0.82586,0.90086,0.74319,0.67593,0.7705,0.98185,0.000863116,0.000863116,0.000863116
22,5141.56,0.78576,0.7284,1.11636,0.90327,0.84181,0.92465,0.76678,0.69601,0.63243,0.98104,0.000834822,0.000834822,0.000834822
23,5371.42,0.81177,0.74169,1.13221,0.88674,0.82339,0.9172,0.76289,0.6698,0.62924,0.97877,0.000806528,0.000806528,0.000806528
24,5602.72,0.78694,0.72361,1.12077,0.87153,0.85278,0.91685,0.76715,0.65803,0.6156,0.97016,0.000778233,0.000778233,0.000778233
25,5827.64,0.78196,0.72044,1.11317,0.91203,0.78909,0.91325,0.75883,0.66165,0.66304,0.96851,0.000749939,0.000749939,0.000749939
26,6059.69,0.76748,0.69319,1.10962,0.86788,0.87892,0.92362,0.77373,0.63562,0.589,0.96333,0.000721645,0.000721645,0.000721645
27,6289.92,0.75767,0.66648,1.10628,0.86474,0.85147,0.91718,0.7628,0.67846,0.6034,0.98571,0.000693351,0.000693351,0.000693351
28,6513.4,0.74885,0.66487,1.09855,0.889,0.85013,0.91779,0.76827,0.65197,0.59172,0.96813,0.000665057,0.000665057,0.000665057
29,6743.19,0.75071,0.65817,1.09733,0.90569,0.83,0.91657,0.77523,0.62553,0.57152,0.97197,0.000636762,0.000636762,0.000636762
30,6981.48,0.76072,0.66307,1.10854,0.88825,0.83244,0.912,0.75736,0.66704,0.61687,0.9937,0.000608468,0.000608468,0.000608468
31,7196.54,0.73116,0.6418,1.09247,0.87598,0.86466,0.91877,0.76797,0.63809,0.56842,0.96111,0.000580174,0.000580174,0.000580174
32,7400.27,0.71885,0.61706,1.08659,0.85441,0.87856,0.92313,0.77493,0.65176,0.60312,0.97334,0.00055188,0.00055188,0.00055188
33,7630.63,0.72416,0.62422,1.09167,0.91377,0.83957,0.92784,0.78384,0.64303,0.5548,0.97021,0.000523586,0.000523586,0.000523586
34,7869.75,0.71687,0.61107,1.08591,0.88509,0.8522,0.91787,0.76716,0.63889,0.56563,0.97187,0.000495291,0.000495291,0.000495291
35,8116.61,0.70267,0.5987,1.07327,0.87651,0.86533,0.92272,0.78603,0.61629,0.55626,0.96048,0.000466997,0.000466997,0.000466997
36,8331.06,0.69831,0.59366,1.07653,0.87939,0.8747,0.93014,0.78051,0.62497,0.54486,0.95737,0.000438703,0.000438703,0.000438703
37,8539.54,0.68965,0.5764,1.06953,0.89867,0.87344,0.93424,0.79463,0.60484,0.51998,0.95081,0.000410409,0.000410409,0.000410409
38,8743.88,0.68006,0.5744,1.06612,0.88328,0.88117,0.93494,0.79039,0.61233,0.53325,0.95565,0.000382115,0.000382115,0.000382115
39,8948.96,0.68506,0.57235,1.07336,0.90426,0.85653,0.93149,0.79024,0.60637,0.52983,0.9466,0.00035382,0.00035382,0.00035382
40,9155.28,0.67206,0.56228,1.06731,0.91664,0.84821,0.93038,0.79592,0.6138,0.52585,0.95891,0.000325526,0.000325526,0.000325526
41,9358.08,0.57959,0.46282,1.02338,0.9155,0.85188,0.93342,0.79851,0.61056,0.54504,0.95697,0.000297232,0.000297232,0.000297232
42,9560.69,0.55189,0.42894,1.00621,0.89153,0.86367,0.92665,0.79425,0.61346,0.52082,0.96106,0.000268938,0.000268938,0.000268938
43,9763.16,0.54967,0.4242,1.0071,0.88753,0.87843,0.93491,0.79982,0.60435,0.51789,0.94815,0.000240644,0.000240644,0.000240644
44,9965.61,0.54179,0.40952,0.99416,0.88707,0.89211,0.93575,0.79826,0.59786,0.50425,0.95049,0.000212349,0.000212349,0.000212349
45,10177.9,0.5297,0.39453,0.9981,0.87954,0.88608,0.93262,0.79226,0.59952,0.50166,0.94847,0.000184055,0.000184055,0.000184055
46,10385.1,0.51457,0.37552,0.9784,0.85552,0.88121,0.92866,0.79588,0.59649,0.50553,0.94681,0.000155761,0.000155761,0.000155761
47,10597.3,0.51688,0.38582,0.98933,0.87577,0.8653,0.92767,0.79212,0.59662,0.50376,0.9512,0.000127467,0.000127467,0.000127467
48,10808.5,0.50713,0.37748,0.98291,0.90743,0.84459,0.93059,0.79532,0.58649,0.50293,0.94389,9.91726e-05,9.91726e-05,9.91726e-05
49,11014.5,0.48571,0.36077,0.97238,0.90687,0.86025,0.93117,0.79673,0.58644,0.49748,0.94403,7.08784e-05,7.08784e-05,7.08784e-05
50,11217,0.49913,0.37127,0.97661,0.915,0.84726,0.93075,0.7963,0.58827,0.50327,0.94808,4.25842e-05,4.25842e-05,4.25842e-05
